Country,Country_pt,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy,Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Drug Use Disorders,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Alcohol Use Disorders,Self-harm,Exposure to Forces of Nature,Diarrheal Diseases,Environmental Heat and Cold Exposure,Neoplasms,Conflict and Terrorism,Diabetes Mellitus,Chronic Kidney Disease,Poisonings,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,"Fire, Heat, and Hot Substances",Acute Hepatitis
"Egypt, Arab Rep.",Egito,Africa,2002,33.5,41.5,173.8735,0.14,97,64,27.9,97,97,0.13,2665,71.49,3.4,3.4,5.1,0,1,69,1259,4603,1522,986,0,1055,309,1100,111,38,1122,186203,29643,19595,104,2150,25,14528,51,34528,23,10491,13524,176,851,24899,17199,44520,49415,1343,1993
"Egypt, Arab Rep.",Egito,Africa,2003,32,39.4,172.614,0.14,98,64,28,98,98,0.13,2699,72.83,3.3,3.3,5.3,0,1,69.1,1239,4779,1645,1007,0,1039,337,1061,113,39,1141,196452,29507,19354,107,2201,2,14279,51,36300,0,11154,14259,175,862,25225,18031,46515,51576,1353,1970
"Egypt, Arab Rep.",Egito,Africa,2004,30.6,37.5,171.3545,0.14,97,64,28.1,97,97,0.13,2759,74.17,3.3,3.2,5.4,0,1,69.3,1203,4858,1669,968,0,1012,364,1009,114,41,1086,197750,28637,19026,109,2216,16,13774,50,37419,62,11505,14493,172,823,25066,18030,46893,51941,1343,1893
"Egypt, Arab Rep.",Egito,Africa,2005,29.3,35.7,170.095,0.15,98,64,28.2,98,98,0.13,2830,75.52,3.2,3.2,5.6,0,1,69.4,1176,4902,1652,933,0,997,392,993,116,42,1053,197027,27809,18825,110,2240,6,13413,49,38242,130,11743,14537,172,788,24965,17851,46652,51646,1371,1826
"Egypt, Arab Rep.",Egito,Africa,2006,28.2,34.2,168.835,0.17,98,64,28.3,98,98,0.13,2971,76.87,3.2,3.1,5.8,0,1,69.6,1163,4968,1657,905,0,1004,428,985,118,44,1062,199763,27314,18351,113,2306,2,13055,49,39646,24,12217,14794,173,760,25392,18026,46610,51771,1354,1809
"Egypt, Arab Rep.",Egito,Africa,2007,27.1,32.7,167.5755,0.19,98,64,28.4,98,98,0.13,3126,78.23,3.1,3.1,6,0,1,69.8,1153,5074,1670,887,0,1011,465,949,104,44,1079,201143,27084,17566,114,2312,4,13218,49,40485,0,12436,14943,173,741,25408,18126,46823,52118,1355,1732
"Egypt, Arab Rep.",Egito,Africa,2008,26,31.3,165.137,0.21,97,64,28.6,97,97,0.13,3291,79.64,3.1,3,6.2,0,1,70,1138,5212,1732,886,0,1025,503,957,93,47,1087,207451,26708,16142,117,2381,98,13224,49,42135,16,13100,15535,175,736,25929,18612,48127,53614,1378,1689
"Egypt, Arab Rep.",Egito,Africa,2009,25,29.9,162.699,0.19,97,64,28.7,97,97,0.13,3381,81.13,3,3,6.4,0,1,70.2,1137,5340,1796,889,0,1051,535,996,93,50,1054,214374,26664,15121,121,2484,2,13111,49,44866,10,13951,16199,180,734,26837,19088,49630,55290,1415,1657
"Egypt, Arab Rep.",Egito,Africa,2010,24,28.7,160.261,0.21,97,64,28.8,97,97,0.13,3485,82.76,3,2.9,6.5,0,1,70.3,1111,5464,1847,874,0,1070,535,1017,95,53,1039,219382,25864,13363,125,2593,62,12788,48,46171,39,14715,16806,183,718,27409,19409,50816,56588,1447,1605
"Egypt, Arab Rep.",Egito,Africa,2011,23.1,27.5,157.823,0.19,96,64,28.9,96,96,0.13,3473,84.53,2.9,2.9,6.7,0,1,70.5,1115,5607,1898,871,0,1093,562,955,101,58,1029,221812,25786,11489,129,2672,2,12763,48,47360,116,15183,17195,186,713,28205,19685,51945,57828,1462,1568
"Egypt, Arab Rep.",Egito,Africa,2012,22.2,26.3,155.3845,0.19,93,64,29.1,93,93,0.13,3472,86.42,2.9,2.8,6.8,0,1,70.7,1102,5746,1989,880,0,1104,618,964,105,61,1079,231012,25436,9252,132,2797,5,12623,48,48813,117,16060,18053,189,717,28813,20395,53786,59861,1497,1542
"Egypt, Arab Rep.",Egito,Africa,2013,21.3,25.3,153.433,0.19,97,64,29.2,97,97,0.13,3468,88.4,2.9,2.8,6.9,0,1,70.9,1082,5816,1964,844,0,1095,684,891,103,61,1149,229434,24760,7892,133,2796,7,12605,49,48629,168,15993,18037,187,684,28515,20325,53648,59739,1481,1481
"Egypt, Arab Rep.",Egito,Africa,2014,20.5,24.3,151.4815,0.19,94,64,29.3,94,94,0.13,3490,90.42,2.8,2.8,7,0,1,71.1,925,5999,2053,842,0,1051,593,863,98,63,1145,236288,23910,6873,135,2840,5,11977,49,50183,293,16886,18893,183,677,28405,20849,55221,61427,1474,1443
"Egypt, Arab Rep.",Egito,Africa,2015,19.8,23.3,149.529,0.18,93,64,29.5,93,93,0.13,3563,92.44,2.8,2.8,7.1,0,1,71.3,925,6190,2214,875,0,1045,537,870,84,68,1081,251445,24920,7175,139,2921,41,11666,157,52885,1125,18390,20276,185,699,29193,21784,57801,64205,1497,1454
El Salvador,El Salvador,Central America and Caribbean,2000,27.4,33.2,220.1275,2.65,99,79,26,98,99,0.41,2993,5.89,2.1,2,5.2,0,1,68.9,73,1012,176,310,1,265,2729,57,680,6,122,6459,2031,1213,802,462,6,668,5,4025,0,1125,2082,14,309,1451,1005,1057,1841,48,6
El Salvador,El Salvador,Central America and Caribbean,2001,26,31.3,218.122,2.76,75,79,26.1,94,92,0.39,2999,5.93,2.1,2,5.3,0,1,69.2,69,1198,220,316,1,251,3264,67,822,6,99,7381,2064,839,886,488,14,395,4,4633,0,1554,2996,10,315,1385,1154,1160,1927,44,6
El Salvador,El Salvador,Central America and Caribbean,2002,24.7,29.6,216.117,2.85,81,81,26.2,81,81,0.37,3029,5.96,2,1.9,5.5,0,1,69.4,71,1294,234,315,1,247,3299,73,800,7,97,7803,2114,824,843,508,394,359,4,4823,0,1710,3343,10,314,1299,1230,1205,1986,43,7
El Salvador,El Salvador,Central America and Caribbean,2003,23.5,28.1,213.592,2.91,94,77,26.4,93,94,0.35,3060,5.99,2,1.9,5.7,0,1,69.7,73,1055,189,314,1,267,2849,59,731,6,118,6756,2060,1114,836,474,3,594,5,4201,0,1219,2323,13,313,1487,1055,1091,1878,47,6
El Salvador,El Salvador,Central America and Caribbean,2004,22.4,26.6,211.067,2.78,90,80,26.5,90,90,0.32,3072,6.02,1.9,1.8,5.8,0,1,69.9,53,1498,248,277,1,203,5977,54,743,8,88,8124,2069,802,715,465,5,315,3,4931,0,1913,3592,10,276,1059,1326,1261,2056,38,6
El Salvador,El Salvador,Central America and Caribbean,2005,21.2,25.1,208.5415,2.68,89,85,26.6,89,89,0.3,3140,6.05,1.9,1.8,6,0,1,70.1,56,1552,272,291,1,228,6176,53,775,10,98,8896,2238,731,810,530,9,318,3,5297,0,2103,3960,11,290,1208,1436,1380,2235,41,6
El Salvador,El Salvador,Central America and Caribbean,2006,20.2,23.8,206.0165,2.67,96,89,26.7,96,96,0.28,3262,6.08,1.8,1.7,6.4,0,1,70.3,67,1237,220,305,1,238,3223,64,823,7,94,7325,2017,816,834,472,36,369,4,4581,0,1563,3055,9,304,1279,1152,1142,1892,42,6
El Salvador,El Salvador,Central America and Caribbean,2007,19.2,22.6,203.491,2.73,99,86,26.8,99,99,0.27,3308,6.11,1.8,1.7,5.8,0,1,70.5,88,979,175,324,1,283,2792,54,614,7,138,6611,2130,1343,854,496,1168,768,5,4039,0,1116,1996,15,323,1538,1024,1093,1917,51,6
El Salvador,El Salvador,Central America and Caribbean,2008,18.3,21.4,200.807,2.59,98,79,26.9,98,98,0.25,3364,6.13,1.8,1.7,6.4,0,1,70.8,52,1427,231,271,1,199,6186,57,712,8,85,7551,1943,813,694,450,1,317,3,4683,0,1752,3373,9,269,1032,1235,1197,1955,37,6
El Salvador,El Salvador,Central America and Caribbean,2009,17.4,20.4,198.1225,2.48,91,82,27,91,91,0.24,3280,6.16,1.7,1.6,6.5,0,1,71,55,1578,279,292,1,233,6555,51,779,10,99,9073,2257,671,832,546,13,314,3,5408,0,2139,3990,11,291,1248,1452,1408,2280,42,6
El Salvador,El Salvador,Central America and Caribbean,2010,16.6,19.4,195.439,2.3,89,78,27.1,89,89,0.22,3335,6.18,1.7,1.6,7.1,0,1,71.2,72,1160,216,323,1,266,3261,70,769,6,104,7355,2105,898,923,499,5,432,6,4610,0,1507,2907,11,322,1482,1146,1168,1948,46,7
El Salvador,El Salvador,Central America and Caribbean,2011,15.8,18.5,192.7545,2.31,89,81,27.2,90,89,0.21,3447,6.21,1.7,1.6,6.5,0,1,71.4,74,1094,202,323,1,272,3015,64,759,6,116,7091,2110,1037,884,491,2,537,5,4408,0,1342,2586,12,321,1524,1106,1128,1924,47,7
El Salvador,El Salvador,Central America and Caribbean,2012,15.1,17.6,190.07,2.41,92,95,27.3,93,92,0.2,3529,6.24,1.6,1.6,6.7,0,1,71.7,58,1334,228,295,1,230,3192,69,766,8,90,7525,1987,797,754,481,22,338,3,4670,0,1671,3269,9,294,1169,1210,1170,1925,67,6
El Salvador,El Salvador,Central America and Caribbean,2013,14.4,16.8,187.4335,2.35,92,85,27.4,92,92,0.19,3591,6.27,1.6,1.6,6.6,0,1,71.9,93,939,170,333,1,301,2887,78,535,7,156,6613,2188,1501,915,515,8,900,5,3951,0,1074,1855,17,332,1598,1016,1125,1988,54,6
El Salvador,El Salvador,Central America and Caribbean,2014,13.8,16.1,184.7965,2.45,93,85,27.5,93,94,0.19,3636,6.3,1.6,1.6,6.5,0,1,72.2,57,1385,237,292,1,231,3186,71,722,8,92,7846,2029,802,760,506,49,329,3,4839,0,1783,3486,10,291,1172,1259,1230,2009,40,6
El Salvador,El Salvador,Central America and Caribbean,2015,13.3,15.5,182.1595,2.54,91,88,27.6,92,91,0.18,3706,6.33,1.6,1.5,6.6,0,1,72.4,73,1127,209,323,1,271,3145,68,740,6,110,7233,2109,961,905,496,172,483,5,4522,0,1431,2752,12,322,1503,1129,1148,1936,47,7
Ethiopia,Etiópia,Africa,2000,87.2,140.7,387.2035,0.19,52,64,19.8,55,30,1.2,262,66.22,11.9,11.8,1.5,0,1,51.9,23939,2424,697,37532,15375,3070,6794,15373,101561,129,72603,63390,92341,100054,570,5900,73,102300,777,29461,48344,10535,8192,3597,36045,10809,13645,18005,28709,2329,2192
Ethiopia,Etiópia,Africa,2001,83.8,134.6,386.2285,0.2,52,64,19.9,54,32,1.06,276,68.16,11.8,11.7,1.6,0,1,52.6,23382,2540,706,35271,24688,2995,6658,14683,102293,126,70304,62314,88541,99726,556,5766,5,97308,777,29217,105,10330,8103,3496,33963,10532,13453,17831,28388,2299,2167
Ethiopia,Etiópia,Africa,2002,80.3,128.3,385.253,0.16,52,64,20,55,35,0.95,272,70.14,11.7,11.6,1.7,0,1,53.3,22696,2691,723,32731,25740,2881,7005,14281,101366,125,66960,61726,85427,100006,550,5693,22,91998,782,29323,624,10229,8082,3423,31575,10368,13379,17793,28255,2294,2206
Ethiopia,Etiópia,Africa,2003,76.7,121.8,369.5585,0.14,52,64,20,54,37,0.83,259,72.17,11.6,11.5,1.7,0,1,54.2,22240,2837,740,29739,31961,2841,6750,14002,99077,125,64149,61522,81537,100289,548,5645,119,85874,782,29345,699,10172,8061,3343,28712,10189,13324,17807,28157,2259,2277
Ethiopia,Etiópia,Africa,2004,73.1,115.3,353.864,0.21,52,64,20.1,54,40,0.73,286,74.24,11.5,11.3,1.8,0,1,55.2,21491,2996,757,26694,39036,2768,6368,13752,95326,127,60864,61553,77284,100060,548,5609,0,79435,778,29408,625,10148,8056,3258,25772,10050,13248,17854,28099,2215,2334
Ethiopia,Etiópia,Africa,2005,69.5,108.9,338.17,0.21,52,64,20.1,56,44,0.65,310,76.35,11.5,11.2,1.9,0,1,56.2,21431,3163,774,25899,29768,2852,6410,13474,87408,131,57716,61546,75804,101002,547,5578,211,75835,790,29742,244,10104,8080,3268,25058,10047,13175,17898,28138,2278,2351
Ethiopia,Etiópia,Africa,2006,66.1,102.8,322.4755,0.29,52,64,20.2,59,46,0.58,335,78.49,11.4,11.1,2,0,1,57.3,20737,3326,789,23711,26576,2742,6601,12842,77675,133,54621,61483,72510,100718,544,5534,951,72648,793,29733,228,10072,8078,3200,22955,9866,13030,17822,27995,2262,2282
Ethiopia,Etiópia,Africa,2007,62.8,97,306.7815,0.31,47,64,20.2,61,50,0.52,363,80.67,11.3,11,2.1,0,1,58.5,19557,3499,803,21946,22459,2697,6418,12064,68887,139,51420,61367,70412,100281,542,5468,22,70063,800,29862,721,10016,8060,3172,21269,9750,12838,17750,27936,2281,2176
Ethiopia,Etiópia,Africa,2008,59.8,91.6,293.293,0.32,52,64,20.2,63,54,0.44,391,82.92,11.2,1.9,2.2,0,1,59.6,18901,3690,820,19886,17410,2582,6611,11364,60273,146,48039,61416,67720,99633,544,5419,45,67239,799,30071,52,10024,8058,3107,19282,9588,12639,17758,27950,2271,2066
Ethiopia,Etiópia,Africa,2009,57,86.7,279.805,0.32,56,64,20.3,65,58,0.4,414,85.23,11.1,1.8,2.3,0,1,60.6,17879,3896,843,17795,21828,2449,6456,10692,53142,163,44485,61526,64073,98217,553,5408,0,64467,792,30352,1287,10115,8157,3011,17252,9408,12481,17856,28087,2244,1949
Ethiopia,Etiópia,Africa,2010,54.3,82,266.317,0.4,62,64,20.3,69,61,0.36,453,87.64,11,1.7,2.3,0,1,61.6,16869,4120,873,16028,22337,2273,6359,9972,47038,150,41580,61463,60266,96549,539,5361,19,61050,780,30588,573,10163,8191,2904,15529,9192,12419,18059,28241,2193,1863
Ethiopia,Etiópia,Africa,2011,51.9,77.7,252.8295,0.45,65,64,20.4,70,65,0.32,490,90.14,1.9,1.6,2.4,0,1,62.5,14680,4357,907,15234,17487,2207,6398,9404,42083,156,39596,62813,57911,95297,542,5313,0,60392,771,31227,203,10372,8295,2844,14757,9082,12479,18391,28738,2190,1818
Ethiopia,Etiópia,Africa,2012,49.5,73.5,239.3415,0.54,69,64,20.4,70,69,0.28,518,92.73,1.7,1.5,2.4,0,1,63.3,13826,4577,940,13852,17971,2083,6628,8660,39202,152,37631,64155,54943,93248,537,5184,0,58455,751,31634,391,10570,8359,2797,13400,8871,12510,18668,29073,2147,1760
Ethiopia,Etiópia,Africa,2013,47.3,69.6,234.3685,0.57,72,64,20.5,70,72,0.25,556,95.39,1.6,1.4,2.5,0,1,64,13071,4808,976,12612,18211,1963,6390,8136,37873,158,35673,65156,52351,91171,540,5045,0,56649,728,32442,411,10795,8495,2712,12179,8591,12547,19272,29875,2091,1715
Ethiopia,Etiópia,Africa,2014,45.2,65.9,229.3955,0.65,77,64,20.5,68,77,0.22,596,98.09,1.5,1.3,2.5,0,1,64.5,13023,5031,1006,12352,10220,1996,6516,7858,35993,166,34686,66729,52336,89648,555,5050,0,57555,726,33588,130,11009,8671,2739,11932,8708,12725,19831,30816,2131,1721
Ethiopia,Etiópia,Africa,2015,43.2,62.4,224.423,0.76,77,64,20.5,75,77,0.19,641,100.84,1.4,1.2,2.6,0,1,65,12464,5259,1035,11335,10213,1877,6616,7747,33726,170,33648,68412,50198,87177,567,5088,0,56335,712,34455,368,11201,8790,2672,10931,8664,12817,20276,31495,2086,1712
Fiji,Etiópia,Oceania,2000,19.1,22.4,219.344,2.46,98,84,26.3,91,90,0.03,4107,0.81,4.3,4,9.6,0,1,65.7,25,40,28,23,0,66,39,21,11,3,48,2020,230,203,2,85,4,103,1,470,7,1064,211,3,23,103,443,70,137,25,3
Fiji,Etiópia,Oceania,2001,19,22.3,218.489,2.35,98,85,26.4,92,91,0.03,4174,0.81,4.3,4,9.5,0,1,65.9,25,40,28,22,0,65,40,20,13,3,45,1980,224,206,2,83,2,100,1,467,0,1058,211,3,22,100,433,69,136,25,3
Fiji,Etiópia,Oceania,2002,19,22.4,217.6345,2.27,99,82,26.4,94,93,0.03,4301,0.82,4.2,3.9,9.4,0,1,66,23,41,28,21,0,63,41,20,13,3,44,1958,217,206,1,81,7,99,1,473,0,1074,214,3,21,95,426,69,134,24,3
Fiji,Etiópia,Oceania,2003,19.2,22.5,215.093,2.07,99,85,26.5,95,94,0.04,4339,0.82,4.2,3.9,9.3,0,1,66.2,22,42,28,21,0,62,39,21,14,3,45,1991,216,207,2,83,17,98,1,497,0,1166,213,3,21,97,423,70,136,24,3
Fiji,Etiópia,Oceania,2004,19.4,22.8,212.551,2.05,99,87,26.6,96,95,0.04,4559,0.82,4.2,3.9,9.3,0,1,66.2,22,43,27,21,0,64,37,20,14,3,44,1926,211,207,1,79,16,99,1,503,0,1180,209,3,20,95,395,68,135,24,3
Fiji,Etiópia,Oceania,2005,19.7,23.1,210.0095,2.03,99,74,26.7,97,96,0.04,4570,0.82,4.1,3.8,9.2,0,1,66.3,21,44,28,20,0,65,38,21,14,3,44,1982,213,198,2,81,0,102,1,528,0,1249,218,3,20,97,387,70,140,25,3
Fiji,Etiópia,Oceania,2006,19.9,23.4,207.4675,2.07,99,94,26.8,98,98,0.05,4620,0.83,4.1,3.8,9.3,0,1,66.4,21,46,29,19,0,65,38,20,13,2,44,2063,216,195,2,80,5,106,1,559,0,1280,229,2,19,97,383,73,147,26,3
Fiji,Etiópia,Oceania,2007,20.1,23.7,204.926,2.1,99,94,26.9,99,99,0.05,4535,0.84,4.1,3.8,9.3,0,1,66.4,21,48,31,18,0,66,38,20,13,2,44,2132,218,193,2,81,7,110,1,590,0,1355,237,2,18,95,380,74,151,26,3
Fiji,Etiópia,Oceania,2008,20.2,23.8,202.2175,1.96,99,94,27,99,99,0.06,4532,0.85,4,3.7,9.4,0,1,66.5,20,50,32,18,0,64,37,20,12,2,43,2196,218,189,2,83,7,112,1,618,0,1411,243,2,18,93,376,76,156,26,2
Fiji,Etiópia,Oceania,2009,20.1,23.7,199.509,2.32,99,94,27.1,99,99,0.07,4426,0.85,4,3.7,9.5,0,1,66.6,18,52,32,18,0,61,37,19,12,2,42,2187,213,185,2,81,15,114,1,629,0,1399,240,2,18,88,365,75,155,26,2
Fiji,Etiópia,Oceania,2010,20,23.6,196.8,2.42,99,94,27.2,99,99,0.09,4524,0.86,4,3.7,9.6,0,1,66.7,18,54,33,18,0,61,37,18,12,2,43,2237,213,181,2,82,2,116,1,651,0,1433,243,2,18,88,367,77,158,26,2
Fiji,Etiópia,Oceania,2011,20,23.6,194.092,2.31,99,94,27.3,99,99,0.1,4627,0.86,4,3.7,9.8,0,1,66.8,17,56,35,18,0,61,37,16,13,2,42,2274,212,177,2,84,0,117,1,672,0,1489,249,2,18,88,366,78,162,26,2
Fiji,Etiópia,Oceania,2012,20,23.5,191.3835,2.43,99,94,27.3,99,99,0.11,4683,0.87,4,3.7,10.1,0,1,66.9,14,58,36,18,0,63,38,16,12,2,43,2321,209,174,2,86,17,117,1,690,0,1526,253,2,18,89,366,79,165,26,2
Fiji,Etiópia,Oceania,2013,20.1,23.7,189.542,2.53,99,94,27.4,99,99,0.11,4902,0.87,4,3.7,10.3,0,1,67,14,60,37,18,0,62,38,16,10,2,43,2366,209,170,2,85,0,116,1,708,0,1548,258,2,18,93,375,80,167,26,2
Fiji,Fiji,Oceania,2014,20.3,23.9,187.7,2.67,99,94,27.5,99,99,0.11,5172,0.87,4,3.7,10.5,0,1,67,13,62,38,18,0,61,37,16,10,2,43,2421,209,167,2,85,0,116,1,726,0,1577,264,2,18,92,382,81,170,26,2
Fiji,Etiópia,Oceania,2015,20.6,24.4,185.858,2.63,99,94,27.6,99,99,0.12,5391,0.87,4,3.7,10.8,0,1,67.1,14,64,39,18,0,61,37,16,10,3,43,2472,211,166,2,85,0,115,1,744,0,1607,270,2,18,89,389,82,172,26,2
France,França,European Union,2000,4.1,5.4,99.7875,13.92,26,65,24.8,98,97,0.11,33597,60.91,0.7,0.6,9.8,1,0,79.1,314,24825,5148,3230,0,1088,717,74,1274,908,2017,161160,19722,1629,3400,13283,23,1755,347,160035,18,11308,7837,204,3072,8873,20090,12699,27799,825,27
France,França,European Union,2001,3.9,5.3,99.592,14.15,28,65,24.9,98,97,0.11,34015,61.36,0.7,0.6,10,1,0,79.2,318,25339,5310,3273,0,1149,726,73,1225,957,1926,160172,18877,1651,3524,13200,29,1799,334,161674,14,11859,8120,204,3126,8543,19298,12663,27734,817,27
France,França,European Union,2002,3.7,5.1,98.657,13.92,29,65,24.9,97,97,0.11,34152,61.81,0.7,0.6,10.1,1,0,79.3,303,25974,5539,3347,0,1173,730,83,1223,994,1836,160175,18770,1566,3627,13111,49,1887,319,164176,7,12362,8450,198,3201,8020,19039,12621,27811,856,24
France,França,European Union,2003,3.6,4.9,97.437,13.45,28,65,24.9,96,97,0.11,34190,62.24,0.6,0.6,10.2,1,0,79.1,303,26630,5747,3427,0,1201,694,72,1151,1041,1751,159153,18538,1542,3696,12971,26,1985,1974,165898,7,12664,8658,196,3283,7370,18900,12499,27729,897,23
France,França,European Union,2004,3.4,4.8,92.3955,13.14,35,65,25,99,98,0.11,34900,62.7,0.6,0.6,10.3,1,0,80.2,290,27036,5756,3271,0,1151,665,69,1135,1050,1579,151611,17420,1494,3747,12515,25,1945,302,163565,8,12282,8576,185,3138,6732,18058,11901,26661,770,23
France,França,European Union,2005,3.3,4.6,91.6715,12.88,35,65,25,98,98,0.11,35214,63.18,0.6,0.6,10.4,1,0,80.2,284,27698,5947,3298,0,1148,630,64,994,1100,1498,150426,17550,1450,3790,12448,30,1987,376,165087,6,12314,8796,184,3168,6401,18035,11805,26620,808,22
France,França,European Union,2006,3.3,4.5,89.724,13.05,39,65,25,99,99,0.11,35826,63.62,0.6,0.6,10.6,1,0,80.8,262,28411,6122,3320,0,1153,624,70,982,1149,1413,148618,17122,1464,3828,12343,47,2035,518,166220,8,12206,8995,188,3194,6001,17837,11620,26523,744,21
France,França,European Union,2007,3.2,4.4,87.7925,12.95,42,64,25,99,98,0.11,36468,64.02,0.6,0.6,10.7,1,0,81.1,258,29156,6335,3388,0,1144,596,74,850,1214,1333,147659,17219,1443,3870,12345,27,2093,316,168468,10,12146,9288,189,3260,5710,17916,11447,26521,729,20
France,França,European Union,2008,3.2,4.4,86.635,12.53,47,65,25,99,98,0.11,36357,64.37,0.6,0.6,10.7,1,0,81.2,254,30069,6603,3519,0,1151,616,66,774,1324,1278,148533,17519,1463,3897,12531,17,2136,323,172168,11,12198,9694,196,3387,5478,18207,11389,26877,724,19
France,França,European Union,2009,3.1,4.3,86.8955,12.66,51,67,25,98,98,0.1,35131,64.71,0.6,0.6,10.8,1,0,81.4,255,30913,6814,3614,0,1153,632,74,654,1430,1237,148591,17800,1459,3889,12767,26,2086,443,175675,11,12164,9978,206,3479,5323,18434,11363,27155,720,19
France,França,European Union,2010,3.1,4.2,84.668,12.3,65,61,25.1,99,99,0.1,35640,65.03,0.6,0.6,10.9,1,0,81.7,252,31793,6945,3694,0,1145,594,78,584,1501,1189,147786,17832,1462,3901,12735,71,1935,416,177632,17,11948,10261,214,3557,5106,18614,11203,27272,709,18
France,França,European Union,2011,3.1,4.2,82.572,12.35,74,67,25.1,99,99,0.1,36246,65.34,0.6,0.6,10.9,1,0,82.1,249,33094,7073,3742,0,1115,604,64,493,1544,1144,147571,18173,1401,3892,12492,21,1620,335,180034,26,11784,10473,218,3605,4862,18895,11024,27487,684,18
France,França,European Union,2012,3.1,4.1,80.3445,12.22,78,72,25,99,99,0.1,36183,65.66,0.6,0.6,11,1,0,82,245,34915,7282,3864,0,1085,612,61,501,1576,1108,149170,18897,1412,3851,12090,12,1491,499,182809,12,11798,10870,224,3726,4580,19343,10884,27763,667,18
France,França,European Union,2013,3.1,4.1,77.9145,11.73,74,75,25,99,99,0.1,36205,66,0.6,0.6,11.2,1,0,82.2,242,36797,7374,3895,0,1055,585,54,535,1606,1063,148281,19110,1432,3787,11738,28,1366,355,184080,9,11611,11044,223,3758,4335,19529,10661,27619,650,18
France,França,European Union,2014,3.1,4.1,74.8905,12.07,83,77,25,98,98,0.1,36379,66.31,0.6,0.6,11.4,1,0,82.7,232,38572,7394,3887,0,1011,534,50,429,1630,1005,146793,19072,1391,3716,11327,19,1281,344,184299,4,11401,11089,220,3755,4191,19498,10410,27346,630,18
France,França,European Union,2015,3.2,4.2,75.4835,11.87,86,79,25,97,98,0.09,36653,66.55,0.7,0.6,11.5,1,0,82.3,232,40527,7630,4084,0,1013,551,47,490,1699,1001,151427,20301,1382,3664,11367,25,1321,389,188774,295,11781,11568,222,3943,4205,20374,10631,28107,649,18
Germany,Alemanha,European Union,2000,4.4,5.4,94.405,12.91,84,81,25.8,94,90,0.08,34490,82.21,1.2,1.2,11.2,1,0,77.9,349,35327,7228,161,0,618,924,51,702,1516,819,357679,17769,1621,6022,12844,1,688,179,243529,12,19544,14591,107,89,7956,32657,23133,43094,660,71
Germany,Alemanha,European Union,2001,4.3,5.2,91.975,12.46,86,83,25.8,96,93,0.08,35011,82.35,1.2,1.1,11.7,1,0,78.3,345,35229,7408,174,0,583,867,42,660,1487,737,348711,17798,1565,5823,12541,9,801,176,249281,6,19330,15633,104,99,7463,31780,22649,42859,648,65
Germany,Alemanha,European Union,2002,4.2,5.1,91.2495,12.25,87,77,25.9,97,93,0.08,34883,82.49,1.2,1.1,12.1,1,0,78.2,344,35209,7721,189,0,569,887,35,644,1435,684,346347,18472,1521,5722,12435,33,976,173,255686,10,19577,16877,100,113,7122,31962,22517,43301,650,58
Germany,Alemanha,European Union,2003,4.1,5,90.053,11.92,90,83,26,96,97,0.08,34620,82.53,1.1,1.1,12.5,1,0,78.4,331,35066,8020,217,0,558,823,40,623,1410,640,342145,19138,1510,5657,12360,2,1223,176,259062,4,19599,18025,99,135,6799,32245,22329,43667,641,52
Germany,Alemanha,European Union,2004,4,4.9,86.3185,11.83,88,89,26,96,96,0.08,35034,82.52,1.1,1.1,12.9,1,0,78.7,311,35301,8156,243,0,517,789,45,611,1354,577,330795,19142,1474,5583,11950,2,1496,160,259846,6,19146,18744,97,159,6268,31676,21474,43170,618,44
Germany,Alemanha,European Union,2005,3.9,4.7,84.758,11.68,90,91,26.1,95,96,0.08,35310,82.47,1.1,1.1,13.3,1,0,78.9,296,35731,8472,279,0,496,715,37,595,1341,548,326879,19821,1397,5538,11625,6,1836,165,261980,6,19045,19800,97,191,5873,31960,20968,43255,610,41
Germany,Alemanha,European Union,2006,3.8,4.6,82.246,11.76,87,90,26.1,94,96,0.08,36699,82.38,1.1,1.1,13.6,1,0,79.1,287,35561,8768,317,0,481,719,45,599,1324,520,321684,20064,1361,5487,11322,8,2213,196,262584,6,18785,20732,98,221,5531,32179,20466,43197,597,37
Germany,Alemanha,European Union,2007,3.7,4.5,80.746,11.51,86,92,26.2,95,96,0.08,37842,82.27,1.1,1.1,13.7,1,0,79.5,281,35246,9135,357,0,467,695,38,563,1345,499,318687,20535,1376,5507,11160,20,2657,151,263688,3,18761,22015,100,253,5283,32940,20155,43345,591,35
Germany,Alemanha,European Union,2008,3.6,4.4,79.5175,11.37,87,92,26.2,95,96,0.08,38278,82.11,1.1,1.1,13.7,1,0,79.7,273,35096,9576,404,0,466,675,41,561,1372,476,317372,20919,1285,5567,11156,5,3096,151,264802,6,18959,23313,101,289,5049,34054,20108,43882,604,34
